[2018-03-31 12:53:00] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:53:00] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:53:00] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:53:49] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:53:49] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:53:49] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:02] local.INFO:            | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:02] local.INFO:            | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:02] local.INFO:            | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:36] local.INFO:            | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:36] local.INFO:            | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:36] local.INFO:            | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:46] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:46] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:47] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:57] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:57] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:54:57] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:55:00] local.INFO:            | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:55:00] local.INFO:            | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:55:00] local.INFO:            | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:55:08] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:55:09] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 12:55:09] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:03:42] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:03:42] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:03:42] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:05:36] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:05:36] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:05:36] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:05:57] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:05:57] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:05:57] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
[2018-03-31 13:17:08] local.INFO: ADMIN      | 127.0.0.1     | Ocorreu uma falha no sistema:  
